PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT_SAEB,ERRO_PADRAO_LP_SAEB,ERRO_PADRAO_MT_SAEB,INSE_ALUNO,ID_SERIE,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,IN_PUBLICA,ID_LOCALIZACAO,TX_RESP_Q01,TX_RESP_Q02,TX_RESP_Q04,TX_RESP_Q12b,TX_RESP_Q13b,TX_RESP_Q12f
288.993956,221.812366,21.537979,35.430035,4.53,12,1,15,6322339,1,1,1,B,E,C,C,B,A
210.396828,217.732337,26.119984,36.821474,4.45,12,1,13,6322281,1,1,1,A,C,C,A,B,A
,,,,,12,3,35,6325999,1,1,1,.,.,.,.,.,.
173.729605,274.980278,33.926272,29.796759,5,12,5,51,6327436,2,1,1,A,B,A,A,B,B
,,,,,12,3,35,6325481,2,1,1,.,.,.,.,.,.
291.511227,227.665466,17.913717,43.183698,4.27,12,2,23,6323061,2,1,1,B,B,A,A,B,A
214.553677,206.291234,29.247469,42.843314,5.35,12,2,29,6324299,2,1,1,A,C,D,C,B,A
339.884576,329.070525,23.507677,27.4044,,12,3,31,6324665,2,1,1,B,B,B,.,.,.
,,,,,12,4,43,6326989,2,1,1,.,.,.,.,.,.
331.34775,246.851122,20.211221,34.820305,3.86,12,2,28,6323960,2,1,1,B,C,A,A,B,B
189.678142,246.867499,29.811735,35.204565,4.74,12,2,23,6323150,2,1,1,A,C,C,B,A,B
,,,,,12,3,33,6325349,2,1,1,.,.,.,.,.,.
327.010855,337.001032,19.205767,20.781941,4.5,12,3,32,6325344,1,1,1,B,C,A,A,B,A
267.594482,228.495691,19.114697,37.495704,4.48,12,2,21,6322647,2,1,2,B,C,C,A,B,B
248.133522,262.493317,21.737031,36.98591,,12,4,41,6326356,2,1,1,B,B,C,.,.,.
305.5018,305.943174,19.884847,29.888311,6.36,12,4,43,6326792,2,1,1,B,C,A,B,B,C
252.053636,208.913758,21.026437,40.524676,4.83,12,1,15,6322382,2,1,1,B,B,C,C,B,A
,,,,,13,3,33,6325394,2,1,1,.,.,.,.,.,.
391.880701,386.256817,29.754162,15.043196,6.47,12,3,31,6325074,2,1,1,A,C,A,D,B,C
234.11138,218.336589,28.021917,38.137515,3.43,12,1,15,6322444,2,1,1,A,B,E,A,B,A
263.048563,323.508456,22.374847,24.41729,6.84,13,4,43,6326864,2,1,1,A,C,A,D,B,D
315.821559,319.397911,21.023297,49.200228,6.04,12,4,43,6327101,1,1,1,A,B,A,D,B,B
251.099694,235.376595,20.893331,35.048626,6.59,12,5,50,6327291,1,1,1,B,B,A,C,B,C
268.733096,228.186886,23.106377,34.552246,3.42,12,2,21,6322765,2,1,1,B,C,C,A,A,A
262.064651,280.345941,21.722707,35.021462,5.38,12,3,35,6325881,2,1,1,B,C,C,B,B,B
256.274779,213.868836,19.126432,39.170573,4.15,12,2,29,6324293,2,1,2,A,D,C,A,B,A
,,,,,12,4,42,6326529,2,1,1,.,.,.,.,.,.
340.971128,359.387474,20.239704,19.157654,6.02,13,4,42,6326718,2,1,1,A,B,A,B,B,C
,,,,,13,2,24,6323278,2,1,1,.,.,.,.,.,.
232.103007,254.501608,23.223615,28.788238,3.58,12,2,21,6322830,2,1,1,A,.,B,A,A,B
260.762519,231.511864,20.342398,38.377237,4.92,12,1,13,6322272,2,1,2,A,B,A,B,B,B
,,,,5.52,12,2,29,6324332,1,1,1,A,D,C,B,B,B
283.242098,312.380685,20.151499,31.045897,,12,3,35,6325781,2,1,1,A,B,B,.,B,.
291.891095,232.065757,18.847109,35.883098,4.56,12,5,51,6327485,2,1,1,B,C,B,A,B,B
365.603646,376.413227,26.131113,13.912662,6.14,12,5,50,6327349,2,0,1,B,C,A,D,B,B
217.479686,264.625833,27.910132,25.100741,3.89,12,5,50,6327280,2,1,2,A,C,E,A,B,A
,,,,,13,3,35,6325484,2,1,1,.,.,.,.,.,.
,,,,,12,3,35,6325824,2,1,1,.,.,.,.,.,.
273.288215,278.213984,19.055527,26.070865,6.65,12,3,35,6325588,2,1,1,A,C,C,B,B,C
297.68598,247.443358,17.398815,47.60875,5.19,12,3,33,6325436,2,1,1,A,C,C,B,B,B
,,,,,12,3,33,6325412,1,1,1,.,.,.,.,.,.
250.61041,235.636271,22.61241,31.820397,4.05,12,2,27,6323843,2,1,1,B,B,C,A,B,A
223.503429,181.936599,24.083017,36.857804,4.19,12,2,28,6323933,2,1,1,B,D,C,C,B,A
,,,,,12,3,35,6326066,2,1,1,.,.,.,.,.,.
251.781585,233.834526,20.488616,42.529199,4.4,12,3,35,6325626,2,1,1,A,B,C,A,A,B
332.142637,291.369697,19.186098,33.163322,5.26,12,3,35,6325694,2,1,1,B,B,C,B,B,A
,,,,,12,3,35,6325689,2,1,1,.,.,.,.,.,.
346.567897,343.335868,22.119269,18.376224,5.92,13,2,26,6323705,2,1,1,A,B,A,C,B,B
357.1326,401.66309,23.440077,14.577502,4.65,12,2,25,6323507,1,1,1,A,C,C,B,B,A
,,,,,13,2,27,6323845,2,1,1,.,.,.,.,.,.
,,,,,12,5,51,6327408,2,1,1,.,.,.,.,.,.
,,,,,13,2,26,6323635,2,1,1,.,.,.,.,.,.
273.304964,289.715843,19.545087,30.347298,3.52,12,2,28,6323968,2,1,1,B,C,A,B,B,A
242.964388,229.266893,20.734222,40.622823,5.81,12,2,29,6324204,2,1,1,B,D,C,B,B,B
220.483045,254.825337,23.261024,34.998937,,12,2,29,6324359,2,1,1,B,C,C,A,.,.
